ID_CLIENT,SITE,ADS_DATE,SALE_TYPE,LAND_TYPE,SQUARE,FULL_ADDRESS,STREET,WARD,DISTRICT,CITY,UTILITIES,PRICE,UNIT_PRICE,V_UNIT_PRICE,UNIT_SQUARE
p175808,batdongsan,2018-04-20,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p176066,batdongsan,2018-04-20,Thuê,Kho Xưởng,3010.0,"Phúc Yên, Vĩnh Phúc",,,Phúc Yên,Vĩnh Phúc,,57.0,nghìn/m2,0.057,M2
p176274,batdongsan,2018-04-21,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p176388,batdongsan,2018-04-23,Thuê,Kho Xưởng,1872.0,"số 5A, quốc lộ 22, Xuân Thới Sơn, huyện Hóc Môn Môn, Hồ Chí Minh",quốc lộ 22,Xuân Thới Sơn,huyện Hóc Môn Môn,TP. Hồ Chí Minh,,90.0,nghìn/m2,0.09,M2
p176731,batdongsan,2018-04-23,Thuê,Kho Xưởng,3000.0,"Đông Hòa, Dĩ An, Bình Dương",,Đông Hòa,Dĩ An,Bình Dương,,40.0,nghìn/m2,0.04,M2
p176740,batdongsan,2018-04-23,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p176768,batdongsan,2018-04-23,Thuê,Kho Xưởng,1800.0,"Ấp Hòa Lân, Thuận Giao, Thuận An, Bình Dương",Ấp Hòa Lân,Thuận Giao,Thuận An,Bình Dương,,33.0,nghìn/m2,0.033,M2
p176940,batdongsan,2018-04-23,Thuê,Nhà Phố,124.0,"số 2 Kim Giang, Kim Giang, Thanh Xuân, Hà Nội",số 2 Kim Giang,Kim Giang,Thanh Xuân,Hà Nội,,200.0,nghìn/m2,0.2,M2
p177036,batdongsan,2018-04-24,Thuê,Kho Xưởng,650.0,"32, Trạm Trôi, Hoài Đức, Hà Nội",32,Trạm Trôi,Hoài Đức,Hà Nội,,65.0,nghìn/m2,0.065,M2
p177295,batdongsan,2018-04-24,Thuê,Chung Cư,1700.0,"Hoàn Kiếm, Hà Nội",,,Hoàn Kiếm,Hà Nội,,220.0,nghìn/m2,0.22,M2
p177333,batdongsan,2018-04-24,Thuê,Kho Xưởng,3000.0,"Quốc lộ 32, Tân Lập, Đan Phượng, Hà Nội",Quốc lộ 32,Tân Lập,Đan Phượng,Hà Nội,,65.0,nghìn/m2,0.065,M2
p177336,batdongsan,2018-04-24,Thuê,Kho Xưởng,3000.0,"Quốc lộ 32, Tân Lập, Đan Phượng, Hà Nội",Quốc lộ 32,Tân Lập,Đan Phượng,Hà Nội,,65.0,nghìn/m2,0.065,M2
p177340,batdongsan,2018-04-24,Thuê,Nhà Phố,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p177353,batdongsan,2018-04-24,Thuê,Văn Phòng,100.0,"Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội",Hoàng Quốc Việt,Nghĩa Đô,Cầu Giấy,Hà Nội,,181.0,nghìn/m2,0.181,M2
p177360,batdongsan,2018-04-24,Thuê,Văn Phòng,100.0,"K2, Mỹ Đình 1, Nam Từ Liêm, Hà Nội",K2,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,,170.0,nghìn/m2,0.17,M2
p177364,batdongsan,2018-04-24,Thuê,Kho Xưởng,2015.0,"TP Hải Dương, Hải Dương",,,TP Hải Dương,Hải Dương,,46.0,nghìn/m2,0.046,M2
p177529,batdongsan,2018-04-25,Thuê,Nhà Phố,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p177926,batdongsan,2018-04-26,Thuê,Văn Phòng,220.0,"Trung Yên 3, Yên Hòa, Cầu Giấy, Hà Nội",Trung Yên 3,Yên Hòa,Cầu Giấy,Hà Nội,,227.0,nghìn/m2,0.227,M2
p177961,batdongsan,2018-05-15,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",185.0,nghìn/m2,0.185,M2
p177993,batdongsan,2018-04-26,Thuê,Kho Xưởng,2715.0,"Chương Mỹ, Hà Nội",,,Chương Mỹ,Hà Nội,,40.0,nghìn/m2,0.04,M2
p178218,batdongsan,2018-04-27,Thuê,Văn Phòng,125.0,"Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Duy Tân,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,,249.0,nghìn/m2,0.249,M2
p178236,batdongsan,2018-04-27,Bán,Nhà Phố,188.0,"Lê Trọng Tấn, Hoài Đức, Hà Nội",,Lê Trọng Tấn,Hoài Đức,Hà Nội,,30.0,triệu/m2,30.0,M2
p179253,batdongsan,2018-05-02,Thuê,Kho Xưởng,351.0,"Tô Hiến Thành, Phường 15, Quận 10, Hồ Chí Minh",Tô Hiến Thành,Phường 15,Quận 10,TP. Hồ Chí Minh,,140.0,nghìn/m2,0.14,M2
p179573,batdongsan,2018-05-03,Thuê,Kho Xưởng,1450.0,"Thuận Thành, Bắc Ninh",,,Thuận Thành,Bắc Ninh,,50.0,nghìn/m2,0.05,M2
p179624,batdongsan,2018-05-03,Thuê,Văn Phòng,55.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,225.0,nghìn/m2,0.225,M2
p180005,batdongsan,2018-05-04,Thuê,Kho Xưởng,4005.0,"Yên Dũng, Bắc Giang",,,Yên Dũng,Bắc Giang,,45.0,nghìn/m2,0.045,M2
p181475,batdongsan,2018-05-08,Thuê,Văn Phòng,630.0,"Trần Bình, Nam Từ Liêm, Hà Nội",,Trần Bình,Nam Từ Liêm,Hà Nội,,273.0,nghìn/m2,0.273,M2
p181619,batdongsan,2018-05-08,Thuê,Nhà Phố,30.0,"Hai Bà Trưng, Hà Nội",,,Hai Bà Trưng,Hà Nội,,220.0,nghìn/m2,0.22,M2
p181859,batdongsan,2018-05-09,Thuê,Kho Xưởng,3020.0,"Nga Sơn, Thanh Hóa",,,Nga Sơn,Thanh Hóa,,40.0,nghìn/m2,0.04,M2
p182351,batdongsan,2018-05-10,Thuê,Kho Xưởng,4005.0,"Sơn Tây, Hà Nội",,,Sơn Tây,Hà Nội,,45.0,nghìn/m2,0.045,M2
p183115,batdongsan,2018-05-11,Thuê,Kho Xưởng,1115.0,"Phúc Yên, Vĩnh Phúc",,,Phúc Yên,Vĩnh Phúc,,45.0,nghìn/m2,0.045,M2
p183256,batdongsan,2018-05-12,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",185.0,nghìn/m2,0.185,M2
p183820,batdongsan,2018-05-14,Thuê,Văn Phòng,80.0,"Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội",Trần Đại Nghĩa,Đồng Tâm,Hai Bà Trưng,Hà Nội,,212.0,nghìn/m2,0.212,M2
p183899,batdongsan,2018-05-14,Thuê,Văn Phòng,330.0,"66 Trần Thái Tông, Dịch Vọng, Cầu Giấy, Hà Nội",66 Trần Thái Tông,Dịch Vọng,Cầu Giấy,Hà Nội,,320.0,nghìn/m2,0.32,M2
p184009,batdongsan,2018-05-14,Thuê,Kho Xưởng,3010.0,"Phúc Yên, Vĩnh Phúc",,,Phúc Yên,Vĩnh Phúc,,40.0,nghìn/m2,0.04,M2
p184024,batdongsan,2018-05-14,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",185.0,nghìn/m2,0.185,M2
p184819,batdongsan,2018-05-16,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",185.0,nghìn/m2,0.185,M2
p185045,batdongsan,2018-05-16,Thuê,Kho Xưởng,300.0,"ĐT 743, Tân Đông Hiệp, Dĩ An, Bình Dương",ĐT 743,Tân Đông Hiệp,Dĩ An,Bình Dương,"Hệ thống an ninh , Nhân viên bảo vệ",69.0,nghìn/m2,0.069,M2
p185082,batdongsan,2018-05-16,Thuê,Văn Phòng,175.0,"Trần Đăng Ninh, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Trần Đăng Ninh,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,,125.0,nghìn/m2,0.125,M2
p185090,batdongsan,2018-05-16,Thuê,Văn Phòng,150.0,"Nguyễn Cơ Thạch, Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,,227.0,nghìn/m2,0.227,M2
son,batdongsan,2017-04-01,Thuê,Kho Xưởng,2000.0,"Thanh Khương, Thuận Thành, Bắc Ninh",,Thanh Khương,Thuận Thành,Bắc Ninh,,50.0,nghìn/m2,0.05,M2
3100m2,batdongsan,2017-03-29,Thuê,Kho Xưởng,3100.0,"Cầu Diễn, Cầu Diễn, Nam Từ Liêm, Hà Nội",Cầu Diễn,Cầu Diễn,Nam Từ Liêm,Hà Nội,,75.0,nghìn/m2,0.075,M2
p168912,batdongsan,2018-04-02,Thuê,Văn Phòng,175.0,"Trần Đăng Ninh, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Trần Đăng Ninh,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,,125.0,nghìn/m2,0.125,M2
p168937,batdongsan,2018-04-02,Thuê,Văn Phòng,100.0,"Tố Hữu, Mỗ Lao, Hà Đông, Hà Nội",Tố Hữu,Mỗ Lao,Hà Đông,Hà Nội,,238.0,nghìn/m2,0.238,M2
p169173,batdongsan,2018-04-03,Thuê,Nhà Phố,300.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p169535,batdongsan,2018-04-04,Thuê,Kho Xưởng,171.0,"70, Văn Điển, Thanh Trì, Hà Nội",70,Văn Điển,Thanh Trì,Hà Nội,,75.0,nghìn/m2,0.075,M2
p169638,batdongsan,2018-04-04,Thuê,Văn Phòng,100.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,230.0,nghìn/m2,0.23,M2
p169909,batdongsan,2018-04-04,Thuê,Kho Xưởng,4005.0,"Yên Dũng, Bắc Giang",,,Yên Dũng,Bắc Giang,,45.0,nghìn/m2,0.045,M2
p170257,batdongsan,2018-04-05,Thuê,Kho Xưởng,500.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,"Hệ thống an ninh , Nhân viên bảo vệ",70.0,nghìn/m2,0.07,M2
p170506,batdongsan,2018-04-06,Thuê,Kho Xưởng,500.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,,70.0,nghìn/m2,0.07,M2
p170528,batdongsan,2018-04-06,Thuê,Kho Xưởng,500.0,"Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",,Thạnh Mỹ Lợi,Quận 2,TP. Hồ Chí Minh,,70.0,nghìn/m2,0.07,M2
p170590,batdongsan,2018-04-06,Thuê,Văn Phòng,300.0,"Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội",Tây Sơn,Ngã Tư Sở,Đống Đa,Hà Nội,,250.0,nghìn/m2,0.25,M2
p170732,batdongsan,2018-04-06,Thuê,Kho Xưởng,1005.0,"Việt Trì, Phú Thọ",,,Việt Trì,Phú Thọ,,30.0,nghìn/m2,0.03,M2
p171509,batdongsan,2018-04-09,Thuê,Kho Xưởng,1110.0,"Phúc Thọ, Hà Nội",,,Phúc Thọ,Hà Nội,,40.0,nghìn/m2,0.04,M2
p172227,batdongsan,2018-04-11,Thuê,Kho Xưởng,100.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,,65.0,nghìn/m2,0.065,M2
p172492,batdongsan,2018-04-11,Thuê,Kho Xưởng,20000.0,"Quốc lộ 1A, Long Bình Tân, Biên Hòa, Đồng Nai",Quốc lộ 1A,Long Bình Tân,Biên Hòa,Đồng Nai,,45.0,nghìn/m2,0.045,M2
p172517,batdongsan,2018-04-11,Thuê,Kho Xưởng,10015.0,"Quốc Oai, Hà Nội",,,Quốc Oai,Hà Nội,,80.0,nghìn/m2,0.08,M2
p172655,batdongsan,2018-04-12,Thuê,Kho Xưởng,200.0,"Dĩ An, Dĩ An, Bình Dương",,Dĩ An,Dĩ An,Bình Dương,,65.0,nghìn/m2,0.065,M2
p172700,batdongsan,2018-04-12,Bán,Chung Cư,91.0,"Ngọc Hồi, Hoàng Liệt, Hoàng Mai, Hà Nội",Ngọc Hồi,Hoàng Liệt,Hoàng Mai,Hà Nội,,14.0,triệu/m2,14.0,M2
p172705,batdongsan,2018-04-12,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p172947,batdongsan,2018-04-12,Thuê,Kho Xưởng,1005.0,"Phúc Thọ, Hà Nội",,,Phúc Thọ,Hà Nội,,40.0,nghìn/m2,0.04,M2
p173402,batdongsan,2018-04-13,Thuê,Kho Xưởng,1005.0,"Bình Xuyên, Vĩnh Phúc",,,Bình Xuyên,Vĩnh Phúc,,35.0,nghìn/m2,0.035,M2
p173707,batdongsan,2018-04-14,Thuê,Văn Phòng,270.0,"Hòa Thuận Tây, Hải Châu, Đà Nẵng",,Hòa Thuận Tây,Hải Châu,Đà Nẵng,"Chỗ để xe máy , Chỗ để ôtô , Hệ thống an ninh , Nhân viên bảo vệ , Internet",318.181,nghìn/m2,0.318181,M2
p174025,batdongsan,2018-04-16,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p174104,batdongsan,2018-04-16,Thuê,Kho Xưởng,1015.0,"Đạo Đức, Bình Xuyên, Vĩnh Phúc",,Đạo Đức,Bình Xuyên,Vĩnh Phúc,,35.0,nghìn/m2,0.035,M2
p174280,batdongsan,2018-04-16,Thuê,Văn Phòng,45.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,225.0,nghìn/m2,0.225,M2
p174284,batdongsan,2018-04-16,Thuê,Văn Phòng,60.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,225.0,nghìn/m2,0.225,M2
p174344,batdongsan,2018-04-17,Thuê,Kho Xưởng,5190.0,"Cao tốc Nhật Tân Nội Bài, Nguyên Khê, Đông Anh, Hà Nội",Cao tốc Nhật Tân Nội Bài,Nguyên Khê,Đông Anh,Hà Nội,,55.0,nghìn/m2,0.055,M2
p174368,batdongsan,2018-04-17,Thuê,Kho Xưởng,5000.0,"Tỉnh lộ 282, Hà Mãn, Thuận Thành, Bắc Ninh",Tỉnh lộ 282,Hà Mãn,Thuận Thành,Bắc Ninh,,45.0,nghìn/m2,0.045,M2
p174589,batdongsan,2018-04-17,Thuê,Khác,54.0,"Phan Văn Trị, Phường 7, Gò Vấp, Hồ Chí Minh",Phan Văn Trị,Phường 7,Gò Vấp,TP. Hồ Chí Minh,,500.0,nghìn/m2,0.5,M2
p174623,batdongsan,2018-04-17,Thuê,Mặt Bằng - Cửa Hàng,120.0,"Tây Sơn, Ngã Tư Sở, Đống Đa, Hà Nội",Tây Sơn,Ngã Tư Sở,Đống Đa,Hà Nội,"Chỗ để xe máy , Chỗ để ôtô , Hệ thống an ninh , Nhân viên bảo vệ , Internet",450.0,nghìn/m2,0.45,M2
p174826,batdongsan,2018-04-18,Thuê,Văn Phòng,35.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,225.0,nghìn/m2,0.225,M2
p174854,batdongsan,2018-04-18,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p175172,batdongsan,2018-04-18,Thuê,Văn Phòng,35.0,"Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội",Lê Thanh Nghị,Bách Khoa,Hai Bà Trưng,Hà Nội,,270.0,nghìn/m2,0.27,M2
p175345,batdongsan,2018-04-19,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p175387,batdongsan,2018-04-19,Thuê,Chung Cư,160.0,"Cầu Giấy, Hà Nội",,,Cầu Giấy,Hà Nội,,340.0,nghìn/m2,0.34,M2
p175808,batdongsan,2018-04-20,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p176066,batdongsan,2018-04-20,Thuê,Kho Xưởng,3010.0,"Phúc Yên, Vĩnh Phúc",,,Phúc Yên,Vĩnh Phúc,,57.0,nghìn/m2,0.057,M2
p176274,batdongsan,2018-04-21,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p176388,batdongsan,2018-04-23,Thuê,Kho Xưởng,1872.0,"số 5A, quốc lộ 22, Xuân Thới Sơn, huyện Hóc Môn Môn, Hồ Chí Minh",quốc lộ 22,Xuân Thới Sơn,huyện Hóc Môn Môn,TP. Hồ Chí Minh,,90.0,nghìn/m2,0.09,M2
p176731,batdongsan,2018-04-23,Thuê,Kho Xưởng,3000.0,"Đông Hòa, Dĩ An, Bình Dương",,Đông Hòa,Dĩ An,Bình Dương,,40.0,nghìn/m2,0.04,M2
p176740,batdongsan,2018-04-23,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p176768,batdongsan,2018-04-23,Thuê,Kho Xưởng,1800.0,"Ấp Hòa Lân, Thuận Giao, Thuận An, Bình Dương",Ấp Hòa Lân,Thuận Giao,Thuận An,Bình Dương,,33.0,nghìn/m2,0.033,M2
p176940,batdongsan,2018-04-23,Thuê,Nhà Phố,124.0,"số 2 Kim Giang, Kim Giang, Thanh Xuân, Hà Nội",số 2 Kim Giang,Kim Giang,Thanh Xuân,Hà Nội,,200.0,nghìn/m2,0.2,M2
p177036,batdongsan,2018-04-24,Thuê,Kho Xưởng,650.0,"32, Trạm Trôi, Hoài Đức, Hà Nội",32,Trạm Trôi,Hoài Đức,Hà Nội,,65.0,nghìn/m2,0.065,M2
p177295,batdongsan,2018-04-24,Thuê,Chung Cư,1700.0,"Hoàn Kiếm, Hà Nội",,,Hoàn Kiếm,Hà Nội,,220.0,nghìn/m2,0.22,M2
p177333,batdongsan,2018-04-24,Thuê,Kho Xưởng,3000.0,"Quốc lộ 32, Tân Lập, Đan Phượng, Hà Nội",Quốc lộ 32,Tân Lập,Đan Phượng,Hà Nội,,65.0,nghìn/m2,0.065,M2
p177336,batdongsan,2018-04-24,Thuê,Kho Xưởng,3000.0,"Quốc lộ 32, Tân Lập, Đan Phượng, Hà Nội",Quốc lộ 32,Tân Lập,Đan Phượng,Hà Nội,,65.0,nghìn/m2,0.065,M2
p177340,batdongsan,2018-04-24,Thuê,Nhà Phố,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p177353,batdongsan,2018-04-24,Thuê,Văn Phòng,100.0,"Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội",Hoàng Quốc Việt,Nghĩa Đô,Cầu Giấy,Hà Nội,,181.0,nghìn/m2,0.181,M2
p177360,batdongsan,2018-04-24,Thuê,Văn Phòng,100.0,"K2, Mỹ Đình 1, Nam Từ Liêm, Hà Nội",K2,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,,170.0,nghìn/m2,0.17,M2
p177364,batdongsan,2018-04-24,Thuê,Kho Xưởng,2015.0,"TP Hải Dương, Hải Dương",,,TP Hải Dương,Hải Dương,,46.0,nghìn/m2,0.046,M2
p177529,batdongsan,2018-04-25,Thuê,Nhà Phố,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",180.0,nghìn/m2,0.18,M2
p177926,batdongsan,2018-04-26,Thuê,Văn Phòng,220.0,"Trung Yên 3, Yên Hòa, Cầu Giấy, Hà Nội",Trung Yên 3,Yên Hòa,Cầu Giấy,Hà Nội,,227.0,nghìn/m2,0.227,M2
p177961,batdongsan,2018-05-15,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",185.0,nghìn/m2,0.185,M2
p177993,batdongsan,2018-04-26,Thuê,Kho Xưởng,2715.0,"Chương Mỹ, Hà Nội",,,Chương Mỹ,Hà Nội,,40.0,nghìn/m2,0.04,M2
p178218,batdongsan,2018-04-27,Thuê,Văn Phòng,125.0,"Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Duy Tân,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,,249.0,nghìn/m2,0.249,M2
p178236,batdongsan,2018-04-27,Bán,Nhà Phố,188.0,"Lê Trọng Tấn, Hoài Đức, Hà Nội",,Lê Trọng Tấn,Hoài Đức,Hà Nội,,30.0,triệu/m2,30.0,M2
p179253,batdongsan,2018-05-02,Thuê,Kho Xưởng,351.0,"Tô Hiến Thành, Phường 15, Quận 10, Hồ Chí Minh",Tô Hiến Thành,Phường 15,Quận 10,TP. Hồ Chí Minh,,140.0,nghìn/m2,0.14,M2
p179573,batdongsan,2018-05-03,Thuê,Kho Xưởng,1450.0,"Thuận Thành, Bắc Ninh",,,Thuận Thành,Bắc Ninh,,50.0,nghìn/m2,0.05,M2
p179624,batdongsan,2018-05-03,Thuê,Văn Phòng,55.0,"Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội",Nguyễn Khuyến,Văn Miếu,Đống Đa,Hà Nội,,225.0,nghìn/m2,0.225,M2
p180005,batdongsan,2018-05-04,Thuê,Kho Xưởng,4005.0,"Yên Dũng, Bắc Giang",,,Yên Dũng,Bắc Giang,,45.0,nghìn/m2,0.045,M2
p181475,batdongsan,2018-05-08,Thuê,Văn Phòng,630.0,"Trần Bình, Nam Từ Liêm, Hà Nội",,Trần Bình,Nam Từ Liêm,Hà Nội,,273.0,nghìn/m2,0.273,M2
p181619,batdongsan,2018-05-08,Thuê,Nhà Phố,30.0,"Hai Bà Trưng, Hà Nội",,,Hai Bà Trưng,Hà Nội,,220.0,nghìn/m2,0.22,M2
p181859,batdongsan,2018-05-09,Thuê,Kho Xưởng,3020.0,"Nga Sơn, Thanh Hóa",,,Nga Sơn,Thanh Hóa,,40.0,nghìn/m2,0.04,M2
p182351,batdongsan,2018-05-10,Thuê,Kho Xưởng,4005.0,"Sơn Tây, Hà Nội",,,Sơn Tây,Hà Nội,,45.0,nghìn/m2,0.045,M2
p183115,batdongsan,2018-05-11,Thuê,Kho Xưởng,1115.0,"Phúc Yên, Vĩnh Phúc",,,Phúc Yên,Vĩnh Phúc,,45.0,nghìn/m2,0.045,M2
p183256,batdongsan,2018-05-12,Thuê,Văn Phòng,220.0,"Trường Chinh, Tân Hưng Thuận, Quận 12, Hồ Chí Minh",Trường Chinh,Tân Hưng Thuận,Quận 12,TP. Hồ Chí Minh,"Chỗ để xe máy , Hệ thống an ninh , Nhân viên bảo vệ",185.0,nghìn/m2,0.185,M2
p183820,batdongsan,2018-05-14,Thuê,Văn Phòng,80.0,"Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội",Trần Đại Nghĩa,Đồng Tâm,Hai Bà Trưng,Hà Nội,,212.0,nghìn/m2,0.212,M2
p183899,batdongsan,2018-05-14,Thuê,Văn Phòng,330.0,"66 Trần Thái Tông, Dịch Vọng, Cầu Giấy, Hà Nội",66 Trần Thái Tông,Dịch Vọng,Cầu Giấy,Hà Nội,,320.0,nghìn/m2,0.32,M2
p184009,batdongsan,2018-05-14,Thuê,Kho Xưởng,3010.0,"Phúc Yên, Vĩnh Phúc",,,Phúc Yên,Vĩnh Phúc,,40.0,nghìn/m2,0.04,M2
